unit,citizen,sex,age,decision,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,LU	425 	170 	160 	325 	900 	660 	725 	445 	315 	315 	250 	170 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,LV	15 	10 	15 	10 	40 	45 	35 	65 	30 	40 	40 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,MT	225 	475 	325 	505 	415 	135 	225 	300 	265 	340 	670 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,NL	390 	425 	675 	1205 	645 	820 	745 	490 	745 	900 	780 	1080 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,NO	3785 	8050 	9675 	7940 	7175 	9425 	7470 	3930 	4550 	4230 	1850 	910 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,PL	155 	10 	60 	2175 	900 	1000 	1360 	1820 	1200 	1720 	1435 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,PT	0 	0 	20 	20 	65 	100 	95 	85 	185 	0 	465 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,RO	190 	575 	420 	1180 	1945 	625 	135 	65 	100 	105 	175 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,SE	10245 	13405 	11575 	11375 	13060 	10575 	10755 	7435 	8950 	14460 	15965 	13690 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,SI	100 	70 	15 	70 	35 	60 	65 	30 	35 	40 	85 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,SK	65 	20 	170 	0 	65 	110 	55 	25 	20 	10 	20 	: 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,UK	8930 	10425 	14345 	10415 	8285 	8730 	8250 	7735 	6595 	5385 	3120 	4655 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,AT	490 	375 	375 	460 	300 	240 	790 	850 	355 	605 	1065 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,BE	85 	115 	85 	50 	30 	60 	30 	30 	30 	20 	95 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,BG	10 	10 	20 	15 	20 	35 	15 	5 	15 	5 	20 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,CH	60 	50 	40 	30 	30 	15 	15 	10 	15 	15 	30 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,CY	5 	10 	5 	5 	15 	55 	205 	240 	100 	40 	10 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,CZ	35 	0 	20 	260 	25 	15 	10 	0 	10 	0 	5 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,DE	145 	140 	235 	350 	1135 	950 	935 	525 	855 	22395 	27660 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,DK	50 	70 	155 	200 	180 	285 	130 	70 	75 	140 	130 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,EL	0 	15 	5 	80 	90 	220 	295 	355 	160 	95 	95 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,ES	10 	5 	5 	20 	5 	0 	0 	5 	0 	10 	15 	0 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,EU27_2020	2610 	3510 	3160 	4860 	6075 	5230 	5325 	4460 	7900 	30775 	38055 	4750 d
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,EU28	2850 	3680 	3370 	5035 	6220 	5350 	5415 	4640 	8275 	31140 	38800 	5525 d
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,FI	55 	35 	35 	215 	145 	75 	60 	45 	50 	195 	270 	: 
PER,EXT_EU27_2020,T,TOTAL,SUB_PROT,FR	1125 	1320 	1035 	1195 	1390 	1180 	1580 	1555 	1910 	2605 	2705 	: 
